"","X","curr_SRX","sex","simplified_tissue","broad_tissue","simpled_dev","broad_stage","study","cell_line"
"DRX045944","DRX045944","DRX045944","male","embryo","embryo","e11","embryo","DRP003277",NA
"DRX045945","DRX045945","DRX045945","female","embryo","embryo","e11","embryo","DRP003277",NA
"DRX045946","DRX045946","DRX045946","female","embryo","embryo","e11","embryo","DRP003277",NA
"DRX045947","DRX045947","DRX045947","female","embryo","embryo","e11","embryo","DRP003277",NA
"DRX045948","DRX045948","DRX045948","male","embryo","embryo","e11","embryo","DRP003277",NA
"DRX045949","DRX045949","DRX045949","male","embryo","embryo","e11","embryo","DRP003277",NA
"DRX045950","DRX045950","DRX045950","male","embryo","embryo","e11","embryo","DRP003277",NA
"DRX051735","DRX051735","DRX051735","unknown","embryo","embryo","e","embryo","DRP004105",NA
"DRX051736","DRX051736","DRX051736","unknown","embryo","embryo","e","embryo","DRP004105",NA
"DRX051737","DRX051737","DRX051737","unknown","embryo","embryo","e","embryo","DRP004105",NA
"DRX073117","DRX073117","DRX073117","female","whole body","whole body","a","adult","DRP003423",NA
"DRX073118","DRX073118","DRX073118","female","whole body","whole body","a","adult","DRP003423",NA
"DRX073119","DRX073119","DRX073119","female","whole body","whole body","a","adult","DRP003423",NA
"DRX073120","DRX073120","DRX073120","female","whole body","whole body","a","adult","DRP003423",NA
"DRX073121","DRX073121","DRX073121","female","whole body","whole body","a","adult","DRP003423",NA
"DRX073122","DRX073122","DRX073122","female","whole body","whole body","a","adult","DRP003423",NA
"DRX073123","DRX073123","DRX073123","female","whole body","whole body","a","adult","DRP003423",NA
"DRX073124","DRX073124","DRX073124","female","whole body","whole body","a","adult","DRP003423",NA
"DRX073125","DRX073125","DRX073125","female","whole body","whole body","a","adult","DRP003423",NA
"DRX073126","DRX073126","DRX073126","female","whole body","whole body","a","adult","DRP003423",NA
"DRX073127","DRX073127","DRX073127","female","whole body","whole body","a","adult","DRP003423",NA
"DRX073128","DRX073128","DRX073128","female","whole body","whole body","a","adult","DRP003423",NA
"DRX073129","DRX073129","DRX073129","female","whole body","whole body","a","adult","DRP003423",NA
"DRX073130","DRX073130","DRX073130","female","whole body","whole body","a","adult","DRP003423",NA
"DRX073131","DRX073131","DRX073131","female","whole body","whole body","a","adult","DRP003423",NA
