"","X","curr_SRX","sex","simplified_tissue","broad_tissue","simpled_dev","broad_stage","study","cell_line"
"ERX1732871","ERX1732871","ERX1732871","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732872","ERX1732872","ERX1732872","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732875","ERX1732875","ERX1732875","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732878","ERX1732878","ERX1732878","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732879","ERX1732879","ERX1732879","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732880","ERX1732880","ERX1732880","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732881","ERX1732881","ERX1732881","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732886","ERX1732886","ERX1732886","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732887","ERX1732887","ERX1732887","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732890","ERX1732890","ERX1732890","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732891","ERX1732891","ERX1732891","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732892","ERX1732892","ERX1732892","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732895","ERX1732895","ERX1732895","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732896","ERX1732896","ERX1732896","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732897","ERX1732897","ERX1732897","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732898","ERX1732898","ERX1732898","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732899","ERX1732899","ERX1732899","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732900","ERX1732900","ERX1732900","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732901","ERX1732901","ERX1732901","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732904","ERX1732904","ERX1732904","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732906","ERX1732906","ERX1732906","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732910","ERX1732910","ERX1732910","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732911","ERX1732911","ERX1732911","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732913","ERX1732913","ERX1732913","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732914","ERX1732914","ERX1732914","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732915","ERX1732915","ERX1732915","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732916","ERX1732916","ERX1732916","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732917","ERX1732917","ERX1732917","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732919","ERX1732919","ERX1732919","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732920","ERX1732920","ERX1732920","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732921","ERX1732921","ERX1732921","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732922","ERX1732922","ERX1732922","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732924","ERX1732924","ERX1732924","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732926","ERX1732926","ERX1732926","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732928","ERX1732928","ERX1732928","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732931","ERX1732931","ERX1732931","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732932","ERX1732932","ERX1732932","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1787334","ERX1787334","ERX1787334","female","whole body","whole body","a2","adult","ERP019485",NA
"ERX1787335","ERX1787335","ERX1787335","female","whole body","whole body","a","adult","ERP019485",NA
"ERX1787336","ERX1787336","ERX1787336","female","whole body","whole body","a2","adult","ERP019485",NA
"ERX1787337","ERX1787337","ERX1787337","female","whole body","whole body","a","adult","ERP019485",NA
"ERX1787338","ERX1787338","ERX1787338","female","whole body","whole body","a","adult","ERP019485",NA
"ERX1787339","ERX1787339","ERX1787339","female","whole body","whole body","a","adult","ERP019485",NA
"ERX1787340","ERX1787340","ERX1787340","female","whole body","whole body","a2","adult","ERP019485",NA
"ERX1787341","ERX1787341","ERX1787341","female","whole body","whole body","a2","adult","ERP019485",NA
"ERX1787342","ERX1787342","ERX1787342","female","whole body","whole body","a2","adult","ERP019485",NA
"ERX1787343","ERX1787343","ERX1787343","female","whole body","whole body","a2","adult","ERP019485",NA
"ERX1787344","ERX1787344","ERX1787344","female","whole body","whole body","a","adult","ERP019485",NA
"ERX1787345","ERX1787345","ERX1787345","female","whole body","whole body","a","adult","ERP019485",NA
"ERX1787346","ERX1787346","ERX1787346","female","whole body","whole body","a1","adult","ERP019485",NA
"ERX1787347","ERX1787347","ERX1787347","female","whole body","whole body","a2","adult","ERP019485",NA
"ERX1813180","ERX1813180","ERX1813180","female","midgut","gut","a7","adult","ERP020061",NA
"ERX1813182","ERX1813182","ERX1813182","female","midgut","gut","a7","adult","ERP020061",NA
"ERX1813183","ERX1813183","ERX1813183","female","midgut","gut","a7","adult","ERP020061",NA
"ERX1813184","ERX1813184","ERX1813184","female","midgut","gut","a7","adult","ERP020061",NA
"ERX1818292","ERX1818292","ERX1818292","unknown","embryo","embryo","e11","embryo","ERP020413",NA
"ERX1818293","ERX1818293","ERX1818293","unknown","embryo","embryo","e11","embryo","ERP020413",NA
"ERX1818294","ERX1818294","ERX1818294","unknown","embryo","embryo","e11","embryo","ERP020413",NA
"ERX1818296","ERX1818296","ERX1818296","unknown","embryo","embryo","e14","embryo","ERP020413",NA
"ERX1818297","ERX1818297","ERX1818297","unknown","embryo","embryo","e14","embryo","ERP020413",NA
"ERX1818298","ERX1818298","ERX1818298","unknown","embryo","embryo","e14","embryo","ERP020413",NA
"ERX1818299","ERX1818299","ERX1818299","unknown","embryo","embryo","e14","embryo","ERP020413",NA
"ERX1818300","ERX1818300","ERX1818300","unknown","embryo","embryo","e11","embryo","ERP020413",NA
"ERX1818301","ERX1818301","ERX1818301","unknown","embryo","embryo","e11","embryo","ERP020413",NA
"ERX1818302","ERX1818302","ERX1818302","unknown","embryo","embryo","e11","embryo","ERP020413",NA
"ERX1818303","ERX1818303","ERX1818303","unknown","embryo","embryo","e11","embryo","ERP020413",NA
"ERX1818305","ERX1818305","ERX1818305","unknown","embryo","embryo","e14","embryo","ERP020413",NA
"ERX1818306","ERX1818306","ERX1818306","unknown","embryo","embryo","e14","embryo","ERP020413",NA
"ERX1818307","ERX1818307","ERX1818307","unknown","embryo","embryo","e14","embryo","ERP020413",NA
"ERX1825405","ERX1825405","ERX1825405","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825406","ERX1825406","ERX1825406","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825407","ERX1825407","ERX1825407","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825408","ERX1825408","ERX1825408","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825410","ERX1825410","ERX1825410","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825411","ERX1825411","ERX1825411","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825412","ERX1825412","ERX1825412","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825413","ERX1825413","ERX1825413","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825414","ERX1825414","ERX1825414","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825417","ERX1825417","ERX1825417","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825418","ERX1825418","ERX1825418","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825419","ERX1825419","ERX1825419","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825420","ERX1825420","ERX1825420","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825421","ERX1825421","ERX1825421","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825422","ERX1825422","ERX1825422","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825423","ERX1825423","ERX1825423","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825424","ERX1825424","ERX1825424","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825425","ERX1825425","ERX1825425","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825426","ERX1825426","ERX1825426","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825427","ERX1825427","ERX1825427","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825429","ERX1825429","ERX1825429","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825431","ERX1825431","ERX1825431","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825432","ERX1825432","ERX1825432","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825433","ERX1825433","ERX1825433","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825434","ERX1825434","ERX1825434","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825435","ERX1825435","ERX1825435","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825436","ERX1825436","ERX1825436","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825437","ERX1825437","ERX1825437","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825438","ERX1825438","ERX1825438","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825439","ERX1825439","ERX1825439","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825440","ERX1825440","ERX1825440","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825441","ERX1825441","ERX1825441","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825442","ERX1825442","ERX1825442","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825443","ERX1825443","ERX1825443","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825444","ERX1825444","ERX1825444","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825445","ERX1825445","ERX1825445","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825446","ERX1825446","ERX1825446","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825447","ERX1825447","ERX1825447","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825448","ERX1825448","ERX1825448","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825449","ERX1825449","ERX1825449","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825450","ERX1825450","ERX1825450","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825451","ERX1825451","ERX1825451","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825452","ERX1825452","ERX1825452","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825453","ERX1825453","ERX1825453","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825454","ERX1825454","ERX1825454","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825455","ERX1825455","ERX1825455","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825456","ERX1825456","ERX1825456","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825457","ERX1825457","ERX1825457","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825458","ERX1825458","ERX1825458","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825459","ERX1825459","ERX1825459","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825460","ERX1825460","ERX1825460","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825461","ERX1825461","ERX1825461","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825462","ERX1825462","ERX1825462","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825463","ERX1825463","ERX1825463","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825464","ERX1825464","ERX1825464","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825465","ERX1825465","ERX1825465","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825466","ERX1825466","ERX1825466","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825467","ERX1825467","ERX1825467","female","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825468","ERX1825468","ERX1825468","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1825469","ERX1825469","ERX1825469","unknown","whole body","whole body","l1","larva","ERP020556",NA
"ERX1861514","ERX1861514","ERX1861514","mixed","cardial cell","muscle","e15","embryo","ERP021010",NA
"ERX1861515","ERX1861515","ERX1861515","mixed","cardial cell","muscle","e15","embryo","ERP021010",NA
"ERX1883561","ERX1883561","ERX1883561","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883562","ERX1883562","ERX1883562","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883563","ERX1883563","ERX1883563","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883565","ERX1883565","ERX1883565","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883566","ERX1883566","ERX1883566","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883567","ERX1883567","ERX1883567","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883569","ERX1883569","ERX1883569","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883570","ERX1883570","ERX1883570","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883571","ERX1883571","ERX1883571","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883572","ERX1883572","ERX1883572","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883573","ERX1883573","ERX1883573","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883574","ERX1883574","ERX1883574","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883575","ERX1883575","ERX1883575","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883576","ERX1883576","ERX1883576","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883577","ERX1883577","ERX1883577","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883578","ERX1883578","ERX1883578","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883579","ERX1883579","ERX1883579","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883580","ERX1883580","ERX1883580","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883582","ERX1883582","ERX1883582","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883583","ERX1883583","ERX1883583","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1883584","ERX1883584","ERX1883584","unknown","wing disc","disc","l3","larva","ERP021353",NA
"ERX1918267","ERX1918267","ERX1918267","female","whole body","whole body","a10","adult","ERP021716",NA
