curr_SRX,sex,simplified_tissue,broad_tissue,simpled_dev,broad_stage
SRX504594,unknown,central nervous system,neuron,l3,larva
SRX105251,unknown,central nervous system,neuron,l3,larva
SRX504593,unknown,central nervous system,neuron,l3,larva
SRX504598,unknown,central nervous system,neuron,l3,larva
SRX105253,unknown,central nervous system,neuron,l3,larva
SRX504589,unknown,central nervous system,neuron,l3,larva
SRX494071,unknown,central nervous system,neuron,pre2,pupae
SRX504587,unknown,central nervous system,neuron,l3,larva
ERX2162999,unknown,central nervous system,neuron,l3,larva
SRX105242,unknown,central nervous system,neuron,l3,larva
SRX504592,unknown,central nervous system,neuron,l3,larva
SRX2742185,female,central nervous system,neuron,l3,larva
SRX109305,unknown,central nervous system,neuron,pre2,pupae
SRX105252,unknown,central nervous system,neuron,l3,larva
SRX105248,unknown,central nervous system,neuron,l3,larva
SRX1592067,unknown,cholinergic neuron,neuron,a,adult
SRX1592068,unknown,cholinergic neuron,neuron,a,adult
